,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3843,2022-03-19 13:21:25+00:00,"La mejor manera de evitar o paliar los efectos, el poder y la manipulación de los transportistas es invertir en el ferrocarril como medio de transporte y vertebración del territorio. No es de recibo el desabastecimiento como alternativa a una huelga, por legal que sea.",la mejor manera de evitar o paliar los efectos  el poder y la manipulaci n de los transportistas es invertir en el ferrocarril como medio de transporte y vertebraci n del territorio  no es de recibo el desabastecimiento como alternativa a una huelga  por legal que sea ,PituIborra,es,5,1,2011-02-27 13:53:47+00:00,163,False,595,España,,1505172594739273732
3851,2022-03-19 13:20:20+00:00,"Según @sanchezcastejon y su #GobiernoDeInutiles la huelga del Transporte lo secunda una minoría.
Esta es la “minoría” de camiones que colapsaba Oviedo está mañana. #ApoyoCamioneros 
#GobiernoDimision #SanchezDimision https://t.co/iSjaatnGxK",seg n   y su  gobiernodeinutiles la huelga del transporte lo secunda una minor a  esta es la  minor a  de camiones que colapsaba oviedo est  ma ana   apoyocamioneros   gobiernodimision  sanchezdimision  ,JAGlez,es,1,2,2009-04-20 21:54:18+00:00,9,False,360,Oviedo,,1505172320775778305
3852,2022-03-19 13:20:12+00:00,"Huelga de transporte, no es el momento. Protestar por subida de inflación, no es el momento. Desestabilizar Marruecos, Argelia, Libia y Sáhara Occidental. Momento propicio! 🤪",huelga de transporte  no es el momento  protestar por subida de inflaci n  no es el momento  desestabilizar marruecos  argelia  libia y s hara occidental  momento propicio   ,Kublai_78,es,33,5,2020-02-29 17:08:14+00:00,1333,False,15217,,,1505172285031960576
3853,2022-03-19 13:19:38+00:00,RT @Elbucaros: @IsaClaveria Hay huelga de transporte y no se puede transportar el pescado.,   hay huelga de transporte y no se puede transportar el pescado ,IsaClaveria,es,0,1,2011-01-31 21:42:34+00:00,1293,False,83704,"Santiago, Chile",,1505172141930541057
3858,2022-03-19 13:18:59+00:00,@IsaClaveria Hay huelga de transporte y no se puede transportar el pescado.,  hay huelga de transporte y no se puede transportar el pescado ,Elbucaros,es,1,1,2010-12-06 19:24:10+00:00,3584,False,62300,"Sanlúcar de Barrameda, España",,1505171982312263680
3862,2022-03-19 13:17:58+00:00,Ana Pontón demanda a la Xunta y al Gobierno central ayudas extraordinarias para el sector primario ante las consecuencias de la huelga del transporte https://t.co/85IuTkDX3c,ana pont n demanda a la xunta y al gobierno central ayudas extraordinarias para el sector primario ante las consecuencias de la huelga del transporte  ,lavozdegalicia,es,2,0,2009-05-08 10:24:54+00:00,394796,True,120,Galicia | España,,1505171725826367489
3864,2022-03-19 13:17:45+00:00,"La huelga de transporte y la inflación ponen en jaque a la hostelería
https://t.co/ixEBtx9oTi",la huelga de transporte y la inflaci n ponen en jaque a la hosteler a  ,UBUTurismo,es,0,0,2021-06-04 12:22:46+00:00,284,False,413,,,1505171671816278019
3878,2022-03-19 13:15:22+00:00,"Pues resulta q la huelga de transporte impide q pueda compar un kilo de manzanas , pero oye comprar gasolina, q se supone es la causa de la huelga? Alguien me lo explica?",pues resulta q la huelga de transporte impide q pueda compar un kilo de manzanas   pero oye comprar gasolina  q se supone es la causa de la huelga  alguien me lo explica ,mosomero,es,5,1,2011-04-21 08:34:36+00:00,1126,False,26391,zaragoza,,1505171070424338434
3879,2022-03-19 13:15:11+00:00,@Girauters @GirautaOficial @MiquelGimenezG1 @MarcosdeQuinto @alfonso_ussia Que no han llegado las gambas por culpa de la huelga de transporte,          ussia que no han llegado las gambas por culpa de la huelga de transporte,javicalvo73,es,0,0,2013-02-08 20:12:01+00:00,73,False,6293,Zaragoza,,1505171025725739013
3881,2022-03-19 13:15:03+00:00,Encuesta: ¿Apoyas la huelga del transporte? https://t.co/h3vagazP6q via @ElDiestro_,encuesta   apoyas la huelga del transporte    via   ,Yosise2013,es,0,0,2013-02-02 23:39:02+00:00,2672,False,8506,,,1505170991483285515
