,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
3818,2022-03-18 18:13:46+00:00,"#ElComentarioTeInforma

Amenaza huelga indefinida de transporte el abastecimiento en España
https://t.co/fdARN158Om https://t.co/KRCrZlOmHG", elcomentarioteinforma  amenaza huelga indefinida de transporte el abastecimiento en espa a    ,ComentarioUdeC,es,0,0,2015-11-18 20:22:33+00:00,1459,False,19,,,1504883776937095168
3822,2022-03-18 18:13:20+00:00,"La huelga del transporte desata la ""tormenta perfecta"" en los supermercados https://t.co/wTcZJnKUXI",la huelga del transporte desata la  tormenta perfecta  en los supermercados  ,europa_sur,es,0,1,2011-02-22 17:09:43+00:00,11331,False,110,,,1504883666362765326
3845,2022-03-18 18:11:40+00:00,"Tenemos claro que la huelga del transporte está organizada por la ultraderecha, pero ¿Dónde están las UIPs que tan contundentes se muestran en otras actuaciones? https://t.co/FXDRl1punw",tenemos claro que la huelga del transporte est  organizada por la ultraderecha  pero  d nde est n las uips que tan contundentes se muestran en otras actuaciones   ,Chuck_Rasco,es,7,5,2012-03-25 21:55:52+00:00,3625,False,14354,Universos No Paralelos,,1504883248454897666
3852,2022-03-18 18:11:22+00:00,RT @okdiario: Pepe Reina clama contra el Gobierno por la huelga del transporte: «Vamos a decir verdades» https://t.co/hdkg4S4Pk3, pepe reina clama contra el gobierno por la huelga del transporte   vamos a decir verdades   ,Lalita0007,es,0,16,2013-04-16 20:03:03+00:00,1284,False,174,,,1504883171078422529
3862,2022-03-18 18:10:51+00:00,"RT @CristobalGzquez: ‼️Sirva este mensaje como aviso del resumen del BOE📑y cosas de derecho que ya se está subiendo‼️

Hoy, República Erran…",   sirva este mensaje como aviso del resumen del boe y cosas de derecho que ya se est  subiendo    hoy  rep blica erran ,Jatxu2,es,0,2,2019-05-21 11:42:03+00:00,35,False,10404,,,1504883043881865218
3868,2022-03-18 18:10:34+00:00,RT @Tempero72709473: @Soyelquepensais No va a cambiar nada.Las patronales del transporte no van a la huelga porque dentro de poco llegan lo…,   no va a cambiar nada las patronales del transporte no van a la huelga porque dentro de poco llegan lo ,JMSuarez82,es,0,1,2013-06-08 19:09:45+00:00,60,False,13743,,,1504882971534372869
3873,2022-03-18 18:10:16+00:00,"RT @MarcaCoches: 🚛🚚 Huelga de transporte: ""Paramos los camiones y paralizamos el país"" #camioneros 

https://t.co/8tbwt59rtx",    huelga de transporte   paramos los camiones y paralizamos el pa s   camioneros    ,IrinaTutuianu,es,0,99,2014-02-06 23:57:58+00:00,562,False,21259,Valencia,,1504882898171842563
3877,2022-03-18 18:10:01+00:00,"Según la plataforma que ha convocado la huelga, 90.000 empresas secundan el paro indefinido del transporte https://t.co/CabacYqNTe",seg n la plataforma que ha convocado la huelga  90 000 empresas secundan el paro indefinido del transporte  ,A3Noticias,es,15,9,2010-05-20 10:33:50+00:00,2022667,True,889,,,1504882833134960641
3884,2022-03-18 18:09:33+00:00,"RT @viernezx: Esto no es solamente una huelga de transporte, nos jugamos todos mucho, hoy son ellos, mañana, seremos los demás. Aunque no h…", esto no es solamente una huelga de transporte  nos jugamos todos mucho  hoy son ellos  ma ana  seremos los dem s  aunque no h ,_AutoReset_,es,0,14,2020-03-13 21:49:57+00:00,278,False,2863,"Madrid, Comunidad de Madrid",,1504882715254046729
3890,2022-03-18 18:08:44+00:00,"RT @xoanadafonte: Feijóo, en viaje turístico alrededor del país,'promocionándose'?, hace dejación de funciones como IRRESPONSABLE mal gesto…", feij o  en viaje tur stico alrededor del pa s  promocion ndose    hace dejaci n de funciones como irresponsable mal gesto ,motofantasma55,es,0,24,2012-09-22 16:33:19+00:00,132,False,77902,vigo,,1504882508948815880
