,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
366,2022-03-29 14:34:08+00:00,Un millar de convoyes escoltados y 12 detenidos en Asturias desde el inicio de la huelga de transporte https://t.co/rxJ3WnFqmg,un millar de convoyes escoltados y 12 detenidos en asturias desde el inicio de la huelga de transporte  ,SER_Gijon,es,0,0,2011-05-18 09:45:32+00:00,12448,False,7637,Gijón,,1508814771373674496
368,2022-03-29 14:26:04+00:00,"Asimismo, informamos que el boletín fue impreso la semana pasada pero la entrega en la Hermandad, se está viendo afectada por la huelga de transporte. Estamos trabajando para solventar esta incidencia y que puedan recibir lo más pronto posible nuestra publicación.",asimismo  informamos que el bolet n fue impreso la semana pasada pero la entrega en la hermandad  se est  viendo afectada por la huelga de transporte  estamos trabajando para solventar esta incidencia y que puedan recibir lo m s pronto posible nuestra publicaci n ,Soledad_almeria,es,1,7,2010-05-12 20:50:14+00:00,3215,False,2911,Almería,,1508812739480854531
369,2022-03-29 14:24:49+00:00,"RT @thedatawarlock_: Dramático lo de los oscars, casi se me ha olvidado la huelga de transporte, la guerra de Ucrania y limpiarme el culo m…", dram tico lo de los oscars  casi se me ha olvidado la huelga de transporte  la guerra de ucrania y limpiarme el culo m ,toonpabloap,es,0,1,2019-11-28 11:56:08+00:00,7,False,11,"Copenhagen, Denmark",,1508812425071665157
370,2022-03-29 14:22:12+00:00,"RT @BarreirAurora: Huelga de transporte en España, directo: última hora de los paros de camioneros: https://t.co/MUGopzsdmP", huelga de transporte en espa a  directo   ltima hora de los paros de camioneros   ,PorAzcon,es,0,22,2021-11-06 14:46:40+00:00,566,False,3018,,,1508811769141153797
377,2022-03-29 14:08:56+00:00,"Segundo video. 
La huelga de transporte a 15 días. RESISTENCIA 
@JDemocraticaES 
@FLicoretas 
@Ryuk_Shngm 
#ParoTransportistas 
#YoNoVoto https://t.co/inlJgrxcOw",segundo video   la huelga de transporte a 15 d as  resistencia          shngm   parotransportistas   yonovoto  ,fraguas04,es,32,18,2010-04-04 11:01:24+00:00,283,False,1577,España,,1508808428227112974
378,2022-03-29 14:08:40+00:00,"La huelga del transporte como va??  
La factura eléctrica bien no?? 
El país destrozado, Sánchez cargando de la economía, el pp apoyando siempre al PSOE...y los ""buenos"".....Pajeándose con las encuestas.... Que puto desastre. . 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",la huelga del transporte como va     la factura el ctrica bien no    el pa s destrozado  s nchez cargando de la econom a  el pp apoyando siempre al psoe   y los  buenos      paje ndose con las encuestas     que puto desastre                    ,0d5909f1f9a4455,es,1,1,2015-03-15 20:05:02+00:00,1715,False,444305,"A Coruña, Galicia",,1508808363618017289
380,2022-03-29 14:04:21+00:00,"RT @rcapolat: Ahora que se les acaba la cuerda con  la “huelga del transporte”, como se les acabó lo de la ramaderia o lo del covid, vuelve…", ahora que se les acaba la cuerda con  la  huelga del transporte   como se les acab  lo de la ramaderia o lo del covid  vuelve ,rodrigoma85,es,0,19,2014-01-25 13:03:41+00:00,193,False,14715,,,1508807276588683276
383,2022-03-29 14:00:04+00:00,RT @RTVCes: La huelga del transporte prevista para hoy se suspendió el pasado viernes al llegar a un acuerdo con el Gobierno canario. Sin e…, la huelga del transporte prevista para hoy se suspendi  el pasado viernes al llegar a un acuerdo con el gobierno canario  sin e ,lolyagn,es,0,2,2014-03-06 00:21:51+00:00,34,False,4988,"Las Palmas de Gran Canaria, Es",,1508806196219764744
384,2022-03-29 14:00:01+00:00,"Seis piquetes detenidos en Asturias por la huelga de transporte, cuatro de ellos implicados en una barricada en la A-8 https://t.co/glgBHnYDgg",seis piquetes detenidos en asturias por la huelga de transporte  cuatro de ellos implicados en una barricada en la a 8  ,lanuevaespana,es,4,3,2009-03-05 12:48:27+00:00,164769,True,90,Asturias,,1508806185083879432
385,2022-03-29 13:59:37+00:00,Seis detenidos en Asturias por la huelga de transporte en las últimas 24 horas https://t.co/u6sjTTiEm4,seis detenidos en asturias por la huelga de transporte en las  ltimas 24 horas  ,Asturika1,es,1,0,2020-05-19 10:30:11+00:00,9343,False,64513,"Asturias, mi Paraiso",,1508806085334949892
386,2022-03-29 13:56:32+00:00,"RT @pacoredondo: Huelga intensa del transporte, coste de la luz para empresas electrointensivas y sector primario con pocos márgenes:  la t…", huelga intensa del transporte  coste de la luz para empresas electrointensivas y sector primario con pocos m rgenes   la t ,lisfelmontve,es,0,1,2013-08-09 12:45:04+00:00,497,False,59516,,,1508805307560075264
388,2022-03-29 13:55:38+00:00,Se levantó el paro nacional de trenes de pasajeros y carga 🚆 El servicio se normalizará recién al mediodía. El gremio de La Fraternidad y el Ministerio de Transporte llegaron a un acuerdo y culminó la huelga ➡️ https://t.co/67mJoMj9iE https://t.co/YBNfvAPYqp,se levant  el paro nacional de trenes de pasajeros y carga   el servicio se normalizar  reci n al mediod a  el gremio de la fraternidad y el ministerio de transporte llegaron a un acuerdo y culmin  la huelga       ,CanalVerte,es,1,0,2017-09-25 21:34:17+00:00,4673,False,144,"Olavarría, Argentina",,1508805081658974215
390,2022-03-29 13:52:31+00:00,"RT @DosPeor: 🗞️Noticias de la semana pasada que siguen pasándonos factura, ojo con la huelga de transporte que afecta a sectores estratégic…",   noticias de la semana pasada que siguen pas ndonos factura  ojo con la huelga de transporte que afecta a sectores estrat gic ,AlFNique,es,0,3,2015-10-02 08:22:32+00:00,98,False,44,"Rivas-Vaciamadrid, España",,1508804296833474580
392,2022-03-29 13:52:07+00:00,La huelga del transporte pierde fuelle en su tercera semana de protestas https://t.co/06KHZRV8hq a través de @publico_es Las ayudas al transporte por carretera recogidas en el acuerdo se extienden hasta finales de junio (prorrogables) y suman un total de 1.135 millones de euros,la huelga del transporte pierde fuelle en su tercera semana de protestas   a trav s de   es las ayudas al transporte por carretera recogidas en el acuerdo se extienden hasta finales de junio  prorrogables  y suman un total de 1 135 millones de euros,Mariano5212,es,2,6,2013-07-26 21:06:27+00:00,1407,False,169,España,,1508804197659168768
394,2022-03-29 13:49:18+00:00,"Seis piquetes detenidos en Asturias por la huelga de transporte, cuatro de ellos implicados en una barricada en la A-8 #HuelgaTransportes https://t.co/opSDcHnKQx",seis piquetes detenidos en asturias por la huelga de transporte  cuatro de ellos implicados en una barricada en la a 8  huelgatransportes  ,warucrania_es,es,0,0,2022-01-18 19:29:54+00:00,166,False,108,España,,1508803488972685320
395,2022-03-29 13:48:02+00:00,"Huelga intensa del transporte, coste de la luz para empresas electrointensivas y sector primario con pocos márgenes:  la triple crisis que golpea a una Asturias en regresión demográfica y con lastre fiscal 
https://t.co/OLlXOZbBgP https://t.co/h38L9yMmXs",huelga intensa del transporte  coste de la luz para empresas electrointensivas y sector primario con pocos m rgenes   la triple crisis que golpea a una asturias en regresi n demogr fica y con lastre fiscal     ,pacoredondo,es,1,1,2011-01-16 17:54:36+00:00,8490,False,188,"Asturias, España.",,1508803171262648321
396,2022-03-29 13:46:28+00:00,"Huelga intensa del transporte, coste de la luz para empresas electrointensivas y sector primario con pocos márgenes:  la triple crisis que golpea a una Asturias en regresión demográfica y con lastre fiscal 
https://t.co/wzT2Gblu8K",huelga intensa del transporte  coste de la luz para empresas electrointensivas y sector primario con pocos m rgenes   la triple crisis que golpea a una asturias en regresi n demogr fica y con lastre fiscal   ,CovadongaFernn6,es,2,1,2020-06-20 09:21:15+00:00,7064,False,12,,,1508802776855453715
