,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
2185,2022-03-14 15:16:00+00:00,RT @FJavierCobo: Fracaso total del cierre patronal del transporte (que no huelga) que contaba con el rechazo de los sindicatos de clase y d…, fracaso total del cierre patronal del transporte  que no huelga  que contaba con el rechazo de los sindicatos de clase y d ,PacoWanderlust,es,0,1,2015-11-17 21:01:51+00:00,454,False,61236,Macondo,
2189,2022-03-14 15:15:28+00:00,"@todoesmentiratv Hoy no habláis de la huelga en España?? El transporte, el campo, los hogares españoles estamos ahogados!!!",  hoy no habl is de la huelga en espa a   el transporte  el campo  los hogares espa oles estamos ahogados   ,Yoly31292899,es,1,0,2021-03-28 12:40:32+00:00,21,False,4834,"Granada, España",
2195,2022-03-14 15:14:59+00:00,"Derechuzos llorando porque la ""huelga"" del transporte no va como ellos quieren. Ahora no se ríen como lo hacen cuando ellos no convocan.",derechuzos llorando porque la  huelga  del transporte no va como ellos quieren  ahora no se r en como lo hacen cuando ellos no convocan ,pablo_keeper,es,3,1,2011-03-06 10:14:00+00:00,467,False,8066,"Klúshino, Unión Soviética",
2211,2022-03-14 15:12:28+00:00,"RT @_RafaElPiky_: Este país no necesita una huelga de transporte... Este país necesita salir a la calle pero en masa. Camiones, coches, bic…", este pa s no necesita una huelga de transporte    este pa s necesita salir a la calle pero en masa  camiones  coches  bic ,Maria_Assaf,es,0,57,2012-12-17 17:09:10+00:00,162,False,203,SEVILLA,
2213,2022-03-14 15:12:11+00:00,@adanmejia01 . . . Huelga no es lo mismo que paro (ojala sepa la diferencia) . . . no justifique su delito . . . los paros de transporte no son constitucionales . . . su retórica es típica de un ARENERO . . . y de eso ya estamos CANSADOS . . .,        huelga no es lo mismo que paro  ojala sepa la diferencia        no justifique su delito       los paros de transporte no son constitucionales       su ret rica es t pica de un arenero       y de eso ya estamos cansados      ,JoeNi57,es,0,0,2018-03-28 00:43:53+00:00,2,False,7,,
2218,2022-03-14 15:11:39+00:00,"@Tabarnia_Yeah Entonces si no es huelga será un cese en la actividad laboral del transporte nacional, no???",  yeah entonces si no es huelga ser  un cese en la actividad laboral del transporte nacional  no   ,Tvecasposa,es,1,0,2020-03-11 22:42:40+00:00,1940,False,9416,,
2223,2022-03-14 15:11:02+00:00,Huelga del transporte en Galicia: Piquetes informativos en varios polígonos https://t.co/3hjWpJ8mi4,huelga del transporte en galicia  piquetes informativos en varios pol gonos  ,treintayseis_36,es,0,0,2014-05-12 17:57:29+00:00,2110,False,28,Vigo,
2238,2022-03-14 15:08:13+00:00,"Los trabajadores del sector del transporte han decidido ponerse en huelga indefinida porque los políticos estan ahogandolos con impuestos abusivos, a lo que se une el precio de los carburantes.

Yo desde fuera de su sector les opoyo

#YoConLosTransportistas",los trabajadores del sector del transporte han decidido ponerse en huelga indefinida porque los pol ticos estan ahogandolos con impuestos abusivos  a lo que se une el precio de los carburantes   yo desde fuera de su sector les opoyo   yoconlostransportistas,BoDemocracia,es,27,17,2020-04-10 12:44:38+00:00,2189,False,33733,,
2240,2022-03-14 15:07:57+00:00,"@Juliaenlaonda Sobre la ""huelga"" del transporte, la desinformacion que usted nos ha brindado es casi del nivel de la falta de conocimiento del sector que demuestra",  sobre la  huelga  del transporte  la desinformacion que usted nos ha brindado es casi del nivel de la falta de conocimiento del sector que demuestra,JosLpez45780219,es,1,1,2019-12-27 16:46:15+00:00,0,False,6,,
2259,2022-03-14 15:05:34+00:00,Huelga del transporte en Galicia: Piquetes informativos en varios polígonos https://t.co/RNkJZF8zNv,huelga del transporte en galicia  piquetes informativos en varios pol gonos  ,quincemil15000,es,1,0,2011-05-21 11:28:28+00:00,15249,False,73,"A Coruña, Galicia",
2263,2022-03-14 15:04:45+00:00,"4 veces han llamado al paro patronal del transporte ""huelga del transporte* en menos de un minuto en Radio Batzoki",4 veces han llamado al paro patronal del transporte  huelga del transporte  en menos de un minuto en radio batzoki,Txikiteros,es,2,1,2013-01-08 12:05:39+00:00,1084,False,1494,"Bilbao, España",
