,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,ID
827,2022-03-20 19:13:45+00:00,"@fermont1965 Asalariado si, pues mientras te vaya bien para que vas a ir ni apoyar nada..poco sabes de esta huelga y de camiones y transporte tengo mis dudas..aqui no hay vox, ni izquierdas ni derechas, hay una realidad que es de un solo color.NEGRO",  asalariado si  pues mientras te vaya bien para que vas a ir ni apoyar nada  poco sabes de esta huelga y de camiones y transporte tengo mis dudas  aqui no hay vox  ni izquierdas ni derechas  hay una realidad que es de un solo color negro,nancyarett,es,2,1,2013-04-23 22:14:54+00:00,35,False,89,,,1505623648048140292
828,2022-03-20 19:13:11+00:00,#HuelgaTransporte #huelgadetransportistas Cien patrullas de la Guardia Civil de #Toledo actúan a diario por el paro del transporte @DGobiernoCLM @ftierraseca @fmartinezarroyo @PonceIsla @agaportillo  https://t.co/EIbKFnutzN a través de @24clm, huelgatransporte  huelgadetransportistas cien patrullas de la guardia civil de  toledo act an a diario por el paro del transporte              a trav s de  ,24clm,es,1,0,2012-09-12 15:42:26+00:00,32858,False,1292,"Toledo, España",,1505623506695897095
829,2022-03-20 19:13:09+00:00,RT @hernandezcapri1: La televisión @aragontv es una cadena sectaria desde la presentadora de Aquí y Ahora y todos los tertulianos que son d…, la televisi n   es una cadena sectaria desde la presentadora de aqu  y ahora y todos los tertulianos que son d ,Goyito1971,es,0,29,2012-06-03 00:49:50+00:00,267,False,18192,soria,,1505623498433122310
831,2022-03-20 19:12:35+00:00,"Lo del Bulldog se ha preparado y coordinado con mucha premeditación. Tratan de deslegitimar una voz discordante con el paro patronal del transporte, que v0x quiere hacer pasar por huelga de trabajadores y lucha contra el globalismo de las élites. https://t.co/YcRLE6adOT",lo del bulldog se ha preparado y coordinado con mucha premeditaci n  tratan de deslegitimar una voz discordante con el paro patronal del transporte  que v0x quiere hacer pasar por huelga de trabajadores y lucha contra el globalismo de las  lites   ,FachaArte,es,10,0,2020-11-22 12:03:58+00:00,4664,False,12556,España,,1505623355315138566
837,2022-03-20 19:10:13+00:00,"Ergo la huelga es de facha-pobres...
🤦🤦🤦

https://t.co/bpWEyNP6lC",ergo la huelga es de facha pobres          ,rafaperez_bcn,es,5,2,2011-01-09 19:57:10+00:00,742,False,9459,Barcelona,,1505622757136076804
844,2022-03-20 19:08:02+00:00,"RT @elperiodico: 🔴 DIRECTO | Huelga del transporte hoy: Primeros cierres de supermercados 
 https://t.co/o7X5iUzU6M",   directo   huelga del transporte hoy  primeros cierres de supermercados    ,FranciscoCarl47,es,0,15,2011-08-10 20:42:07+00:00,142,False,46420,,,1505622210119151623
845,2022-03-20 19:07:54+00:00,RT @elperiodico: Lidl cierra dos supermercados por la huelga del transporte https://t.co/qKN08nvjfw https://t.co/xDN4xx7W6U, lidl cierra dos supermercados por la huelga del transporte    ,FranciscoCarl47,es,0,86,2011-08-10 20:42:07+00:00,142,False,46420,,,1505622174392102918
854,2022-03-20 19:06:31+00:00,"@ElMarqus7 jajaja.
tic tac tic tac ...
https://t.co/x4v1RFdwhn",  jajaja  tic tac tic tac      ,CityPlancton,es,0,0,2010-08-02 14:25:23+00:00,1044,False,16703,,,1505621829280583687
856,2022-03-20 19:06:17+00:00,"🗞️ SETROI #NEWS #ULTIMAHORA Los transportistas cumplen una semana de huelga e insisten en negociar con el Gobierno. https://t.co/xoXHSJR6XF La Plataforma Nacional en Defensa del Sector del Transporte por Carretera se siente ""ninguneada"" por el Gobierno El Ejecutivo se reúne este",   setroi  news  ultimahora los transportistas cumplen una semana de huelga e insisten en negociar con el gobierno    la plataforma nacional en defensa del sector del transporte por carretera se siente  ninguneada  por el gobierno el ejecutivo se re ne este,GDWEB3,es,0,0,2020-12-29 17:21:08+00:00,322,False,1,España,,1505621770421866500
861,2022-03-20 19:05:09+00:00,"Por supuesto, vaya por delante que esta situación que está viviendo el sector del transporte, entre otros, es muy grave y se le tiene que dar solución. Pero estas protestas en forma de ""huelga"" o cierre patronal ""ilegal"" no tienen cobertura jurídica.",por supuesto  vaya por delante que esta situaci n que est  viviendo el sector del transporte  entre otros  es muy grave y se le tiene que dar soluci n  pero estas protestas en forma de  huelga  o cierre patronal  ilegal  no tienen cobertura jur dica ,jcasanovas73,es,0,0,2010-06-08 17:27:38+00:00,684,False,1306,"Madrid, Comunidad de Madrid",,1505621484047319045
865,2022-03-20 19:04:17+00:00,"RT @frencinas: Este transporte no está en huelga, todo lo contrario, trabaja sin descanso para satisfacer a sus clientes. https://t.co/GYFz…", este transporte no est  en huelga  todo lo contrario  trabaja sin descanso para satisfacer a sus clientes   ,JulianLago_58,es,0,2,2020-03-16 09:55:05+00:00,125,False,9130,,,1505621266715320323
868,2022-03-20 19:04:02+00:00,"La Plataforma para la Defensa del Sector del Transporte de mercancías convoca un paro.
El cabreo se palpa y hay razones.

#NosEstanMatando
Y tomando por tontos.

""Putin no tiene la culpa de que en España tengamos políticos ineptos, inútiles y corruptos""

https://t.co/EL4GP5wbOr",la plataforma para la defensa del sector del transporte de mercanc as convoca un paro  el cabreo se palpa y hay razones    nosestanmatando y tomando por tontos    putin no tiene la culpa de que en espa a tengamos pol ticos ineptos  in tiles y corruptos    ,IzcaNacional,es,1,2,2013-03-27 19:48:59+00:00,19500,False,71471,,,1505621203041538056
870,2022-03-20 19:03:28+00:00,"Siempre defenderé el derecho de huelga o a manifestarse para defender derechos, pero por favor como sociedad privilegiada que somos no podemos estar tirando comida, cuando otros no tienen que comer. 
https://t.co/rAW94Hj3Ni",siempre defender  el derecho de huelga o a manifestarse para defender derechos  pero por favor como sociedad privilegiada que somos no podemos estar tirando comida  cuando otros no tienen que comer    ,CeliaDoncel,es,0,0,2015-08-08 23:49:59+00:00,285,False,2890,España,,1505621060489826307
