,Created_at,Text,Clean Text,Screen_Name,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
2074,2022-03-13 18:22:53+00:00,"#Sucesos 🔥 Calcinado un camión en #AsNogais

🚛 El incidente se produjo un día antes del inicio de la huelga de transporte convocada para este lunes 
https://t.co/DZQ9ojm5Jq", sucesos   calcinado un cami n en  asnogais    el incidente se produjo un d a antes del inicio de la huelga de transporte convocada para este lunes   ,elprogreso_Lugo,es,1,1,2011-01-20 20:45:35+00:00,30485,True,358,"Lugo, Galicia, España",
2091,2022-03-13 18:20:34+00:00,"RT @juanpedrolamor: @vigobulldog A esto no se le puede llamar huelga de transporte, es una estratagema política , promovida por la ultrader…",   a esto no se le puede llamar huelga de transporte  es una estratagema pol tica   promovida por la ultrader ,Cristob95662405,es,0,7,2022-02-28 10:55:00+00:00,0,False,242,,
2094,2022-03-13 18:19:59+00:00,"La patronal del transporte llama al paro, pero que lo paguen los trabajadores, por eso no convoca huelga legal.
CCOO ha recordado que si se da un cese de actividad decidido por la empresa, el día se cobra y se cotiza y no hay que recuperarlo https://t.co/5HAEQmSVyQ",la patronal del transporte llama al paro  pero que lo paguen los trabajadores  por eso no convoca huelga legal  ccoo ha recordado que si se da un cese de actividad decidido por la empresa  el d a se cobra y se cotiza y no hay que recuperarlo  ,RosaCandidaMD,es,0,0,2014-03-31 11:46:25+00:00,3725,False,12807,Españistán,
2097,2022-03-13 18:19:43+00:00,"Los sindicatos de clase anunciando que contra los que les dan subvenciones NO es posible huelga alguna!!

Faltaría más🤨

El combustible está caro por culpa de Putin y porque lo dice Sanchez, así que NO hay más que hablar

 https://t.co/1vA0YaucOF",los sindicatos de clase anunciando que contra los que les dan subvenciones no es posible huelga alguna    faltar a m s   el combustible est  caro por culpa de putin y porque lo dice sanchez  as  que no hay m s que hablar    ,SrSpinola,es,9,4,2017-08-18 10:14:17+00:00,3737,False,65509,"Las Rozas de Madrid, España",
2110,2022-03-13 18:18:38+00:00,RT @cordoba: Incertidumbre en el transporte cordobés ante la huelga convocada este lunes https://t.co/mJyPaFFnng, incertidumbre en el transporte cordob s ante la huelga convocada este lunes  ,alfredomg77,es,0,3,2015-01-04 21:04:34+00:00,57,False,1164,España 🇪🇦,
2116,2022-03-13 18:18:19+00:00,"@Puntual24H Escucha Pedro, el marisco también sube con la huelga ilegal del transporte.....",  escucha pedro  el marisco tambi n sube con la huelga ilegal del transporte     ,Anafarma3,es,0,0,2020-02-24 11:49:06+00:00,857,False,24481,,
2118,2022-03-13 18:18:15+00:00,"RT @siguemey_tesi: La prensa esta silenciando la huelga de transporte del 14-marzo El gobierno les está presionando 

Quién controla los me…", la prensa esta silenciando la huelga de transporte del 14 marzo el gobierno les est  presionando   qui n controla los me ,viejolobo2022,es,0,22,2021-12-31 17:25:58+00:00,199,False,1264,,
2135,2022-03-13 18:15:42+00:00,"Comienzan los  #desabastecimientos en #supermercados la #huelga del sector #transporte? El miedo #ciudadanos? La mala gestión del #gobierno de #España? La guerra #Rusia y #Ucrania? Y usted, ¿Que opina? https://t.co/BO2wfl6o9r",comienzan los   desabastecimientos en  supermercados la  huelga del sector  transporte  el miedo  ciudadanos  la mala gesti n del  gobierno de  espa a  la guerra  rusia y  ucrania  y usted   que opina   ,ppccal,es,0,0,2011-06-18 18:15:52+00:00,236,False,222,"Soria, España",
2138,2022-03-13 18:14:56+00:00,RT @A3Noticias: El sector del transporte ha convocado una huelga nacional indefinida ante el aumento de carburantes ➡ Consulta aquí las cla…, el sector del transporte ha convocado una huelga nacional indefinida ante el aumento de carburantes   consulta aqu  las cla ,Trajano75336888,es,0,57,2019-08-18 18:34:04+00:00,487,False,14264,,
2141,2022-03-13 18:14:08+00:00,"Si estás pensando que mis CCOO advierta que el paro nacional anunciado en el transporte, carece de la cobertura legal de una huelga, tenga algo que ver con que sus gambones y subvenciones dependan de ello, te has ganado un minipunto.",si est s pensando que mis ccoo advierta que el paro nacional anunciado en el transporte  carece de la cobertura legal de una huelga  tenga algo que ver con que sus gambones y subvenciones dependan de ello  te has ganado un minipunto ,Agenda2030_,es,128,42,2021-06-12 01:06:11+00:00,47371,False,16190,,
