,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
40,2022-03-17 23:59:12+00:00,"RT @aguilarcamin: Escribí en Milenio: ""La trampa de la gasolina"". El gobierno evita el gasolinazo haciéndose un boquete fiscal que no benef…", escrib  en milenio   la trampa de la gasolina   el gobierno evita el gasolinazo haci ndose un boquete fiscal que no benef ,es,0,34,2021-08-12 16:20:49+00:00,31,False,237,,
41,2022-03-17 23:59:11+00:00,Supongo que es de los estupidos que piensan que si no tienes carro no te afecta que suba la gasolina. https://t.co/dvoj2wpElr,supongo que es de los estupidos que piensan que si no tienes carro no te afecta que suba la gasolina   ,es,3,0,2010-09-03 22:20:56+00:00,2196,False,18614,"México, Naucalpan de Juarez",
42,2022-03-17 23:59:10+00:00,RT @asoc_vpla: Día del mes para ayudar y consentir a animalitos rescatados!!! 😃 ÚNETE el Domingo 27/03 a la #JornadadeDonativosVPLA #45 🐾 E…, d a del mes para ayudar y consentir a animalitos rescatados       nete el domingo 27 03 a la  jornadadedonativosvpla  45   e ,es,0,20,2012-05-23 18:02:51+00:00,6211,False,12647,Caracas- Venezuela- Oxford UK,
43,2022-03-17 23:59:08+00:00,"Las comunidades se benefician de los impuestos sobre la luz y la gasolina que según Feijóo ""forran"" al Gobierno https://t.co/Pc4zrbdOPk vía @eldiarioes",las comunidades se benefician de los impuestos sobre la luz y la gasolina que seg n feij o  forran  al gobierno   v a  ,es,2,2,2016-10-31 09:03:07+00:00,3535,False,65742,,
45,2022-03-17 23:59:06+00:00,"RT @CanaryAzote: El autónomo que protesta por subida abusiva de luz y de gasolina ahora es de ultraderecha.

El ciudadanos que se queja de…", el aut nomo que protesta por subida abusiva de luz y de gasolina ahora es de ultraderecha   el ciudadanos que se queja de ,es,0,1301,2014-09-25 19:17:58+00:00,2593,False,25847,,
46,2022-03-17 23:59:06+00:00,"RT @Stilosa01: Señor Sánchez,no viaje tanto. salga a la calle, hablé con los autónomos,pasee por un mercado.  Ahí fuera hay millones de esp…", se or s nchez no viaje tanto  salga a la calle  habl  con los aut nomos pasee por un mercado   ah  fuera hay millones de esp ,es,0,83,2021-03-15 16:25:44+00:00,2125,False,2014,,
47,2022-03-17 23:59:04+00:00,"RT @davidbriz8: Hemos madrugado, trasnochado y aplazado siestas por él. Y hasta que le de la gasolina no dejaremos de disfrutar y de vibrar…", hemos madrugado  trasnochado y aplazado siestas por  l  y hasta que le de la gasolina no dejaremos de disfrutar y de vibrar ,es,0,2,2019-06-12 13:26:51+00:00,58,False,1701,,
49,2022-03-17 23:59:02+00:00,RT @crhoycom: Paola Vega y José María Villalta gastan gasolina del Congreso pese a que no tienen carro - https://t.co/YHrTv3zrNE, paola vega y jos  mar a villalta gastan gasolina del congreso pese a que no tienen carro    ,es,0,151,2011-02-24 18:37:20+00:00,178,False,43316,,
50,2022-03-17 23:59:01+00:00,RT @Elondonc78: Se burlan de la propuesta de un sistema ferroviario que una dos regiones; pero les parece normal 168 peajes con precios que…, se burlan de la propuesta de un sistema ferroviario que una dos regiones  pero les parece normal 168 peajes con precios que ,es,0,2970,2013-11-28 03:02:48+00:00,15815,False,410337,Poniente,
51,2022-03-17 23:59:01+00:00,"@J0TA13 Para otros consejos que sean mentira. Acabarás pagando el combustible, la multa y con antecedentes. Plan perfecto, sin fisuras.",  para otros consejos que sean mentira  acabar s pagando el combustible  la multa y con antecedentes  plan perfecto  sin fisuras ,es,2,0,2011-08-13 00:30:50+00:00,377,False,66503,"España, Madrid-Jaén. ",
53,2022-03-17 23:58:58+00:00,Extraño gastar tan poco en combustible💔💔💔 https://t.co/IWFGcGyMGn,extra o gastar tan poco en combustible     ,es,0,0,2020-03-30 18:54:33+00:00,748,False,33152,"Córdoba, Argentina",
55,2022-03-17 23:58:57+00:00,@DenunciasElSV en las gasolineras puma están vendiendo la gasolina regular a $4.31 el galón y dijeron que estaría a $4.15 en todas las gasolineras,  en las gasolineras puma est n vendiendo la gasolina regular a  4 31 el gal n y dijeron que estar a a  4 15 en todas las gasolineras,es,0,0,2013-07-12 23:39:28+00:00,5,False,54,,
56,2022-03-17 23:58:56+00:00,RT @okdiario: El mundo al revés: CCOO y UGT se movilizan contra la rebaja de impuestos a la luz y a la gasolina https://t.co/AITdHR9vli, el mundo al rev s  ccoo y ugt se movilizan contra la rebaja de impuestos a la luz y a la gasolina  ,es,0,3416,2010-05-01 19:02:32+00:00,5633,False,100239,Madrid,
57,2022-03-17 23:58:56+00:00,"RT @IrinaMar10: Una vez más para la historia:
“Fui yo quien sugirió bombardear Belgrado. Fui yo quien sugirió enviar pilotos estadounidense…", una vez m s para la historia   fui yo quien sugiri  bombardear belgrado  fui yo quien sugiri  enviar pilotos estadounidense ,es,0,3526,2013-07-23 03:55:28+00:00,25,False,3868,,
59,2022-03-17 23:58:55+00:00,"RT @Gonmali: Sabias que hoy llenar el tanque de un camión (450 litros) con Diesel sale $52000 y que con eso solo recorren 1300 km. ???

Cal…", sabias que hoy llenar el tanque de un cami n  450 litros  con diesel sale  52000 y que con eso solo recorren 1300 km       cal ,es,0,2294,2012-02-10 13:28:23+00:00,510,False,141495,,
62,2022-03-17 23:58:54+00:00,RT @aventurat: ¿Dónde está la gasolina del pueblo de #Amazonas? @NicolasMaduro @elaisami_Offici ¿A dónde a ido que nunca llegó?,  d nde est  la gasolina del pueblo de  amazonas      offici  a d nde a ido que nunca lleg  ,es,0,8,2011-01-30 02:08:23+00:00,1452,False,149,Amazonas y Delta Amacuro,
65,2022-03-17 23:58:50+00:00,"@laugonzalezmx Si cuando la pandemia estaba en su apojeo, tuvo el descaro de presumir que la gasolina bajó Gracias a su gobierno, cuando en realidad había bajado por el desplomé del precio del petróleo a nivel mundial.
Las mentiras, es el deporte favorito de Lopitoz.",  si cuando la pandemia estaba en su apojeo  tuvo el descaro de presumir que la gasolina baj  gracias a su gobierno  cuando en realidad hab a bajado por el desplom  del precio del petr leo a nivel mundial  las mentiras  es el deporte favorito de lopitoz ,es,2,0,2020-07-31 17:06:26+00:00,10,False,3691,México,
69,2022-03-17 23:58:46+00:00,RT @Javiergaciaisac: El gobierno es cómplice de hacer la vida imposible a los que menos tienen. Decreto ley para profanar el cadáver de un…, el gobierno es c mplice de hacer la vida imposible a los que menos tienen  decreto ley para profanar el cad ver de un ,es,0,735,2011-04-07 19:34:33+00:00,3417,False,144410,Lucena ,
70,2022-03-17 23:58:43+00:00,"RT @_Al3x_1: @Robleis01 POR QUE NADIE PIENSA EN LA GASOLINA, EL GAS Y LA LUZ😭😭😭😭😭🤌🤌 https://t.co/gwLjOpSnlD",   por que nadie piensa en la gasolina  el gas y la luz         ,es,0,4,2022-01-25 20:12:16+00:00,157,False,2164,"Tétaigne, France",
72,2022-03-17 23:58:41+00:00,RT @libertaddigital: Los sindicatos de clase no secundan la huelga de transportistas por el alza de los precios del combustible ni convocan…, los sindicatos de clase no secundan la huelga de transportistas por el alza de los precios del combustible ni convocan ,es,0,1310,2020-05-21 09:39:45+00:00,8,False,754,,
73,2022-03-17 23:58:40+00:00,"RT @SantiagoOrue7: La ""viñetateca"": El mundo al revés: CCOO y UGT se movilizan contra la rebaja de impuestos a la luz y la gasolina https:/…", la  vi etateca   el mundo al rev s  ccoo y ugt se movilizan contra la rebaja de impuestos a la luz y la gasolina https   ,es,0,2475,2012-03-15 13:50:16+00:00,143,False,12406,Salamanca,
74,2022-03-17 23:58:40+00:00,"RT @jcamposasensi: ❌ No puedes pagar la gasolina
❌ No puedes pagar la luz
❌ Cierras tu negocio por los costes
❌ No recibes ayudas 
✅ El gob…",   no puedes pagar la gasolina   no puedes pagar la luz   cierras tu negocio por los costes   no recibes ayudas    el gob ,es,0,220,2013-03-21 05:13:38+00:00,3424,False,24593,En el Albero.,
76,2022-03-17 23:58:35+00:00,RT @Gol_de_Iniesta: Votos a favor de que sean los votantes de PSOE y Podems los que paguen los impuestazos de la gasolina y la luz al resto…, votos a favor de que sean los votantes de psoe y podems los que paguen los impuestazos de la gasolina y la luz al resto ,es,0,312,2021-06-24 09:43:38+00:00,312,False,10383,Madrid ,
77,2022-03-17 23:58:35+00:00,RT @asoc_vpla: Tienes alguna camita usada para perritos que puedas donarle a nuestros animalitos?🐶🐱 Acércala el Domingo 27/03 a la  #Jornad…, tienes alguna camita usada para perritos que puedas donarle a nuestros animalitos    ac rcala el domingo 27 03 a la   jornad ,es,0,54,2012-05-23 18:02:51+00:00,6211,False,12647,Caracas- Venezuela- Oxford UK,
79,2022-03-17 23:58:35+00:00,RT @SocialDrive_es: Manifestación en Francia contra el precio del combustible https://t.co/I6C1aZXvqD, manifestaci n en francia contra el precio del combustible  ,es,0,385,2019-03-17 15:47:36+00:00,581,False,13835,,
81,2022-03-17 23:58:30+00:00,"RT @Gob_Tachira: 📹#VIDEO || El Secretario de Gobierno, Geovat Huérfano en conversación con la Alcaldesa de Lobatera y Coordinadora del Gabi…",   video    el secretario de gobierno  geovat hu rfano en conversaci n con la alcaldesa de lobatera y coordinadora del gabi ,es,0,53,2018-03-11 15:07:18+00:00,535,False,33551,"La Grita, Venezuela",
83,2022-03-17 23:58:29+00:00,"A mi me gustan mas los que acaban de poner gasolina y con el coche parado, meten la calderilla en el monedero, los billetes de 20 en un compartimento, los de 5 en otro. Se sacan la chaqueta, se abrochan el cinturón, ponen la radio, se ajustan las gafas Y luego ya si eso avanzan. https://t.co/8YQHPSq61E",a mi me gustan mas los que acaban de poner gasolina y con el coche parado  meten la calderilla en el monedero  los billetes de 20 en un compartimento  los de 5 en otro  se sacan la chaqueta  se abrochan el cintur n  ponen la radio  se ajustan las gafas y luego ya si eso avanzan   ,es,1,0,2011-05-18 09:57:42+00:00,1692,False,65075,,
84,2022-03-17 23:58:27+00:00,"RT @ale63233467: Te piden que con 500 lukas, pagues dividendo o arriendo, colegio o universidad, luz, agua, gas, farmacia,locomocion,tag, c…", te piden que con 500 lukas  pagues dividendo o arriendo  colegio o universidad  luz  agua  gas  farmacia locomocion tag  c ,es,0,285,2018-07-10 17:35:06+00:00,675,False,65353,,
85,2022-03-17 23:58:26+00:00,"El país que está obsesionado por Rusia  ..el que le lavó el cerebro a muchos de sus habitantes,el que se siente triunfador por quitarle las hamburguesas a los rusos, pero pagando 6 $ por galón de gasolina . https://t.co/Y3SW1W2CC3",el pa s que est  obsesionado por rusia    el que le lav  el cerebro a muchos de sus habitantes el que se siente triunfador por quitarle las hamburguesas a los rusos  pero pagando 6   por gal n de gasolina    ,es,1,3,2010-02-08 04:21:43+00:00,10313,False,101085,Caracas-Venzuela,
87,2022-03-17 23:58:22+00:00,"RT @dandochola: Me puse a calcular lo que me gastaba en gasolina yendo pal sur, y aquí estoy, en Los Rodeos, de camino al Reina Sofía, con…", me puse a calcular lo que me gastaba en gasolina yendo pal sur  y aqu  estoy  en los rodeos  de camino al reina sof a  con ,es,0,84,2012-07-19 02:07:12+00:00,325,False,132182,"Tenerife, Islas Canarias",
88,2022-03-17 23:58:21+00:00,"RT @medicenflower: Si te topas con una de las huelgas, respira por tu nariz, avisa en tu trabajo y cómprales una bolsa de hielo al menos a…", si te topas con una de las huelgas  respira por tu nariz  avisa en tu trabajo y c mprales una bolsa de hielo al menos a ,es,0,1181,2018-08-29 16:30:53+00:00,184,False,10045,Paraguay,
90,2022-03-17 23:58:21+00:00,"RT @Medicilio: Acabo de poner 40€ de diésel.

El domingo ya puse 50€.

Lo uso exclusivamente para ir y volver al hospital.

En 2023 van a i…", acabo de poner 40  de di sel   el domingo ya puse 50    lo uso exclusivamente para ir y volver al hospital   en 2023 van a i ,es,0,86,2015-03-22 15:29:19+00:00,503,False,83,València,
91,2022-03-17 23:58:20+00:00,"RT @pocopelo23: Para @lopezobrador_ 4,33 dólares el galón de gasolina en #USA son 33 pesos mexicanos, realmente es a 22 pesos, igual que en…", para    4 33 d lares el gal n de gasolina en  usa son 33 pesos mexicanos  realmente es a 22 pesos  igual que en ,es,0,2,2016-06-16 23:31:55+00:00,11249,False,203152,,
92,2022-03-17 23:58:19+00:00,"RT @pipo_dios: P/ bajar precio d combustible liberar a Petropar la compra directa,monitoreo permanentemente d precios y controlar negociado…", p  bajar precio d combustible liberar a petropar la compra directa monitoreo permanentemente d precios y controlar negociado ,es,0,17,2016-06-21 19:17:43+00:00,793,False,55633,,
95,2022-03-17 23:58:18+00:00,RT @Minerva79159853: Con lo que se llena UN tanque de gasolina subsidiada a una Suburban  se paga UN año de escuela de tiempo completo a TR…, con lo que se llena un tanque de gasolina subsidiada a una suburban  se paga un a o de escuela de tiempo completo a tr ,es,0,82,2010-06-04 18:16:20+00:00,568,False,13846,"León, Guanajuato. México.",
96,2022-03-17 23:58:15+00:00,"RT @TamaraCruz14: @solsillie Todo suyo amiga, usted sabe que a nosotras nunca nos debe faltar el café, esa es la gasolina del alma!!!!",   todo suyo amiga  usted sabe que a nosotras nunca nos debe faltar el caf   esa es la gasolina del alma    ,es,0,1,2009-11-11 02:01:02+00:00,8082,False,46468,Ccs,
97,2022-03-17 23:58:13+00:00,"Identifica cuáles cosas en tus metas, son aquellas que te llenan de combustible para seguir esforzándote.

Enmarca esas situaciones y haz memoria de ellas, porque esas situaciones, cosas conforman  la pasión que, nos permitirá llegar aún más lejos de lo que imaginamos. https://t.co/LCFwe5G2wx",identifica cu les cosas en tus metas  son aquellas que te llenan de combustible para seguir esforz ndote   enmarca esas situaciones y haz memoria de ellas  porque esas situaciones  cosas conforman  la pasi n que  nos permitir  llegar a n m s lejos de lo que imaginamos   ,es,1,0,2017-09-25 21:36:52+00:00,291,False,894,,
98,2022-03-17 23:58:12+00:00,"RT @MarcoAn71383788: Salí al centro ,fui en Suburbano , en todas las pantallas ponen un anuncio muy gracioso ,el mercado del ganzo ,morena…", sal  al centro  fui en suburbano   en todas las pantallas ponen un anuncio muy gracioso  el mercado del ganzo  morena ,es,0,4,2012-04-20 18:09:59+00:00,319,False,29349,,
99,2022-03-17 23:58:11+00:00,RT @Pepa_Millan: “Que paguen los que más tienen”; quienes más tienen son los sindicatos corruptos que se oponen a protestar por la subida d…,  que paguen los que m s tienen   quienes m s tienen son los sindicatos corruptos que se oponen a protestar por la subida d ,es,0,21,2019-03-20 20:01:22+00:00,9084,False,47106,"Orense, España",
