,Created_at,Text,Clean Text,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas
65,2022-03-07 23:59:24+00:00,"RT @nofrenes: El problema no es el precio de la gasolina,el problema sigue siendo los bajos salarios.Venezuela no sé empobreció por vender…", el problema no es el precio de la gasolina el problema sigue siendo los bajos salarios venezuela no s  empobreci  por vender ,es,0,110,2017-10-20 00:56:23+00:00,555,False,214,"Aragua, Venezuela",
67,2022-03-07 23:59:24+00:00,"Hablando de gasolina, va a seguir subiendo. https://t.co/CcONVys0w8",hablando de gasolina  va a seguir subiendo   ,es,0,0,2011-10-18 15:52:02+00:00,1559,False,33171,"Québec, Canada",
68,2022-03-07 23:59:23+00:00,RT @FeroeNur: ¿La gente que nacimos en los 90 vamos a poder comprar una casa? Porque a este paso mi sueldo se va en luz y gasolina 🙂,  la gente que nacimos en los 90 vamos a poder comprar una casa  porque a este paso mi sueldo se va en luz y gasolina  ,es,0,6110,2011-11-09 11:53:29+00:00,776,False,20066,Tsuki,
71,2022-03-07 23:59:20+00:00,Ni pío de la gasolina que le regalan a los parásitos cubanos. Cuerda de infelices arrastrados y jala mecate https://t.co/x9lvoX3mjw,ni p o de la gasolina que le regalan a los par sitos cubanos  cuerda de infelices arrastrados y jala mecate  ,es,0,0,2009-06-19 22:12:59+00:00,1846,False,18529,Venezuela,
74,2022-03-07 23:59:19+00:00,RT @alberticop56: Desde hoy hay una nueva modalidad para surtir gasolina... Estación de servicio integral.  Tiene una limitación pues labor…, desde hoy hay una nueva modalidad para surtir gasolina    estaci n de servicio integral   tiene una limitaci n pues labor ,es,0,16,2010-02-19 23:14:22+00:00,223,False,25397,,
75,2022-03-07 23:59:19+00:00,"RT @NachoRgz: En EU, Canadá y Europa ya empezaron a pagar más o menos 40 pesos por litro en gasolina -aquí se paga como 20- y 13 pesos por…", en eu  canad  y europa ya empezaron a pagar m s o menos 40 pesos por litro en gasolina  aqu  se paga como 20  y 13 pesos por ,es,0,816,2021-03-10 23:16:57+00:00,24,False,5364,,
78,2022-03-07 23:59:17+00:00,"RT @catacerca: Yo creo que si el Rey Don Juan Carlos regresa a España trayendo unos bidones de gasolina, se lo perdonamos todo.", yo creo que si el rey don juan carlos regresa a espa a trayendo unos bidones de gasolina  se lo perdonamos todo ,es,0,19,2009-04-17 20:09:46+00:00,253,False,3323,en un pais multicolor,
80,2022-03-07 23:59:15+00:00,RT @mescojono: Pues vengo de echar gasolina y en la ventana del precio me ha salido esto. https://t.co/rK5ogxuZqg, pues vengo de echar gasolina y en la ventana del precio me ha salido esto   ,es,0,3353,2014-01-14 23:13:30+00:00,457,False,10948,Madrid. ESPAÑA,
81,2022-03-07 23:59:15+00:00,"RT @TuquequeNews: Colectivos asesinaron a dueño de la Bomba de Gasolina El Saman, en Horizonte, Caracas la tarde de ayer domingo. Lo aborda…", colectivos asesinaron a due o de la bomba de gasolina el saman  en horizonte  caracas la tarde de ayer domingo  lo aborda ,es,0,909,2020-12-30 15:55:55+00:00,279,False,5015,planeta tierra,
82,2022-03-07 23:59:14+00:00,"RT @K_osVenezuela: Día 7 Mes 3 Año 22

Nos amanece un país MAS CARO

UN PAQUETAZO ha sido puesto en marcha y prácticamente nadie se dió cue…", d a 7 mes 3 a o 22  nos amanece un pa s mas caro  un paquetazo ha sido puesto en marcha y pr cticamente nadie se di  cue ,es,0,291,2019-12-22 20:20:11+00:00,193,False,11751,,
85,2022-03-07 23:59:13+00:00,"RT @RobFerD: Tanto alboroto por el pírrico aumento de sueldo, mientras las lágrimas tienen sabor a gasolina.", tanto alboroto por el p rrico aumento de sueldo  mientras las l grimas tienen sabor a gasolina ,es,0,7,2020-05-02 00:43:31+00:00,9789,False,53495,En las Redes,
86,2022-03-07 23:59:13+00:00,RT @TulioGuanipa: En Venezuela el gobierno de Maduro dio luz verde para comenzar a vender la gasolina a precio internacional con un sueldo…, en venezuela el gobierno de maduro dio luz verde para comenzar a vender la gasolina a precio internacional con un sueldo ,es,0,90,2013-06-06 22:48:33+00:00,821,False,21174,"Lima, Perú",
87,2022-03-07 23:59:12+00:00,"RT @crpandemonium: No olvidéis que cuanto más os arruina a vosotros la subida de la inflación, de la electricidad y de la gasolina, más se…", no olvid is que cuanto m s os arruina a vosotros la subida de la inflaci n  de la electricidad y de la gasolina  m s se ,es,0,492,2013-02-28 17:39:45+00:00,151,False,55433,,
89,2022-03-07 23:59:11+00:00,RT @Francis16893780: Dentro de poco los cierres perimetrales nos lo vamos a autoimponer cuando no podamos pagar la gasolina del coche y la…, dentro de poco los cierres perimetrales nos lo vamos a autoimponer cuando no podamos pagar la gasolina del coche y la ,es,0,6,2014-12-02 12:18:39+00:00,338,False,83256,,
90,2022-03-07 23:59:11+00:00,"📌 La gasolina de alto octanaje, viaje en avión, taxi urbano, cebolla, presas de pollo, servicio doméstico y detergente para ropa están entre los productos y servicios que tuvieron más incidencia en la inflación de febrero del 2022 que llegó a 0,23 %. &gt; https://t.co/a6InBeeITp https://t.co/KpwCWJ0ii8",  la gasolina de alto octanaje  viaje en avi n  taxi urbano  cebolla  presas de pollo  servicio dom stico y detergente para ropa est n entre los productos y servicios que tuvieron m s incidencia en la inflaci n de febrero del 2022 que lleg  a 0 23     gt     ,es,0,0,2019-11-22 12:48:36+00:00,1034,False,1011,Cuenca - Ecuador,
91,2022-03-07 23:59:10+00:00,RT @escovargabriela: En España el megavatio hora llegará a 700€  y la gasolina esta en 2€., en espa a el megavatio hora llegar  a 700   y la gasolina esta en 2  ,es,0,70,2010-04-07 03:47:28+00:00,1045,False,47371,"ÜT: 10.477377,-66.891219",
92,2022-03-07 23:59:10+00:00,"RT @DoctorFarola: El alto precio de la gasolina en RD, solo se solucionará cuando El Bravo abra una estación de combustible. 😅", el alto precio de la gasolina en rd  solo se solucionar  cuando el bravo abra una estaci n de combustible   ,es,0,81,2021-08-30 04:07:18+00:00,30,False,2647,"Santo Domingo Oeste, Dominican Republic",
96,2022-03-07 23:59:08+00:00,"RT @ANGELINO1958: ...si consiguen gasolina, vengan a Mérida... pongo a la orden mi cabaña en El Valle, 50 $$ hasta 8 pax, por un fin de sem…",    si consiguen gasolina  vengan a m rida    pongo a la orden mi caba a en el valle  50    hasta 8 pax  por un fin de sem ,es,0,2669,2015-06-26 02:01:12+00:00,61,False,10625,,
100,2022-03-07 23:59:06+00:00,"RT @Elias_Cabeza: La gente critica el aumento de la gasolina, 0,5$ que son 10 Ltrs 5$, 20 Ltrs 10$, 30 Ltrs 15, lo mismo que pagan por una…", la gente critica el aumento de la gasolina  0 5  que son 10 ltrs 5   20 ltrs 10   30 ltrs 15  lo mismo que pagan por una ,es,0,399,2010-05-09 04:09:37+00:00,632,False,15198,venezuela,
102,2022-03-07 23:59:03+00:00,"RT @dofasa47: En verdad que nos perdemos en cosas puntuales, que si aumentaron la gasolina, que si aumentaron el sueldo, que los hospitales…", en verdad que nos perdemos en cosas puntuales  que si aumentaron la gasolina  que si aumentaron el sueldo  que los hospitales ,es,0,7,2020-12-20 00:16:35+00:00,561,False,10823,,
106,2022-03-07 23:58:59+00:00,"RT @smmar13A: Creo que ya quedó más que claro que el petróleo es un bien escaso verdad? Los gringos pidiendo cacao.
#gasolina", creo que ya qued  m s que claro que el petr leo es un bien escaso verdad  los gringos pidiendo cacao   gasolina,es,0,65,2021-03-23 14:31:26+00:00,723,False,7698,,
108,2022-03-07 23:58:58+00:00,@RoiLopezRivas Gas gas dónde hay porque andamos dando vueltas tratando de comprar una bombona petróleo sino tenemos ni gasolina oro ahí hay varias ipotesis que el amigo de aquel le dieron una mina que se lo están llevando hacia Arabia y UD sabe la verdad no se haga el paisano,  gas gas d nde hay porque andamos dando vueltas tratando de comprar una bombona petr leo sino tenemos ni gasolina oro ah  hay varias ipotesis que el amigo de aquel le dieron una mina que se lo est n llevando hacia arabia y ud sabe la verdad no se haga el paisano,es,0,0,2011-04-26 22:13:04+00:00,1369,False,138,,
110,2022-03-07 23:58:57+00:00,"RT @JRioboVTV: “Me sale 60 dólares llenar el tanque de gasolina, preparen los bolsillos porque aumentará más”, aquí lo deja muy claro este…",  me sale 60 d lares llenar el tanque de gasolina  preparen los bolsillos porque aumentar  m s   aqu  lo deja muy claro este ,es,0,293,2010-06-02 17:54:17+00:00,1694,False,40160,caracas venezuela,
113,2022-03-07 23:58:55+00:00,RT @SeorJos1: EEUU quiso asfixiar y presionar a Venezuela con el tema de la #gasolina y resulta q es USA quién se está perjudicando con el…, eeuu quiso asfixiar y presionar a venezuela con el tema de la  gasolina y resulta q es usa qui n se est  perjudicando con el ,es,0,135,2011-01-18 20:19:19+00:00,201,False,602,Venezuela,
